"Enfoque","Escenario","Especificación","SAST","DAST","Tipos de SQLi"
"Punto de partida","Escenario 01","Supermercado","Vulnerable","Vulnerable","Boolean-based, error-based, time-based, union-based"
"Punto de partida","Escenario 02","Biblioteca","Seguro","Seguro","—"
"Punto de partida","Escenario 03","E-commerce","Vulnerable","Vulnerable","Boolean-based, error-based, time-based"
"Punto de partida","Escenario 04","Asistencia a eventos","Seguro","Seguro","—"
"Instrucción explícita","Escenario 05","Supermercado","Vulnerable","Vulnerable","Boolean-based, error-based, time-based, union-based"
"Instrucción explícita","Escenario 06","Biblioteca","Vulnerable","Vulnerable","Boolean-based, time-based, union-based"
"Instrucción explícita","Escenario 07","E-commerce","Vulnerable","Vulnerable","Boolean-based, error-based, time-based"
"Instrucción explícita","Escenario 08","Asistencia a eventos","Vulnerable","Vulnerable","Time-based"
"Sugerencia implícita","Escenario 09","Supermercado","Vulnerable","Vulnerable","Boolean-based, error-based, time-based, union-based"
"Sugerencia implícita","Escenario 10","Biblioteca","Seguro","Seguro","—"
"Sugerencia implícita","Escenario 11","E-commerce","Vulnerable","Vulnerable","Boolean-based, error-based, time-based"
"Sugerencia implícita","Escenario 12","Asistencia a eventos","Seguro","Seguro","—"
"Basado en ejemplos inseguros","Escenario 13","Supermercado","Vulnerable","Vulnerable","Boolean-based, error-based, time-based, union-based"
"Basado en ejemplos inseguros","Escenario 14","Biblioteca","Vulnerable","Vulnerable","Boolean-based, time-based, union-based"
"Basado en ejemplos inseguros","Escenario 15","E-commerce","Vulnerable","Vulnerable","Boolean-based, error-based, time-based"
"Basado en ejemplos inseguros","Escenario 16","Asistencia a eventos","Vulnerable","Vulnerable","Time-based"
"Basado en ejemplos seguros","Escenario 17","Supermercado","Seguro","Seguro","—"
"Basado en ejemplos seguros","Escenario 18","Biblioteca","Seguro","Seguro","—"
"Basado en ejemplos seguros","Escenario 19","E-commerce","Seguro","Seguro","—"
"Basado en ejemplos seguros","Escenario 20","Asistencia a eventos","Seguro","Seguro","—"
"Restricciones de implementación","Escenario 21","Supermercado","Vulnerable","Vulnerable","Boolean-based, error-based, time-based, union-based"
"Restricciones de implementación","Escenario 22","Biblioteca","Seguro","Seguro","—"
"Restricciones de implementación","Escenario 23","E-commerce","Vulnerable","Vulnerable","Boolean-based, error-based, time-based"
"Restricciones de implementación","Escenario 24","Asistencia a eventos","Seguro","Seguro","—"
